wohnquartier;bestand_in_nichtwohngebaeuden;bestand_in_wohngebaeuden_insgesamt;wohnflaeche_je_wohnung;bestand_in_wohngebaeuden_mit_bj_vor_1949;bestand_in_wohngebaeuden_mit_bj_1949_bis_1969;bestand_in_wohngebaeuden_mit_bj_1970_bis_1989;bestand_in_wohngebaeuden_mit_bj_nach_1990;bestand_in_ezfh_insgesamt;bestand_in_ezfh_mit_bj_vor_1949;bestand_in_ezfh_mit_bj_1949_bis_1969;bestand_in_ezfh_mit_bj_1970_bis_1989;bestand_in_ezfh_mit_bj_nach_1990;bestand_in_in_mfh_insgesamt;bestand_in_mfh_mit_bj_vor_1949;bestand_in_mfh_mit_bj_1949_bis_1969;bestand_in_mfh_mit_bj_1970_bis_1989;bestand_in_mfh_mit_bj_nach_1990;durchschnittlicher_bestand_je_wohngebaeude
62010;66;1879;80,01;509;521;443;406;398;196;114;53;35;1481;313;407;390;371;3,5
63001;;629;76,55;247;327;37;18;323;200;110;11;;306;47;217;26;16;1,9
63002;;472;79,15;4;151;223;94;31;4;12;15;;441;;139;208;94;6,1
63003;63;721;66,89;236;432;40;13;23;16;;;3;698;220;430;38;10;6,9
63004;27;1372;61,49;305;951;18;98;43;8;;;34;1329;297;950;18;64;6,8
63005;36;683;65,67;119;429;60;75;98;4;67;11;16;585;115;362;49;59;4,9
63006;90;932;70,15;182;545;74;131;133;;62;9;62;799;182;483;65;69;4,2
63007;;549;88,59;48;190;199;112;217;40;55;82;40;332;8;135;117;72;2,3
63008;;621;90,39;52;319;196;54;129;19;75;22;13;492;33;244;174;41;3,3
63009;51;1109;72,26;210;562;166;171;42;11;21;5;5;1067;199;541;161;166;6,6
63010;13;939;66,64;195;443;181;120;65;26;38;;;874;169;405;180;120;5,5
63011;;679;75,81;72;487;112;8;15;7;7;;;664;65;480;111;8;7,7
63012;;;;;;;;;;;;;;;;;;
63013;9;920;60,77;213;496;22;189;0;;;;;920;213;496;22;189;8,7
63014;6;180;64,42;120;27;15;18;4;;3;;;176;119;24;15;18;5,8
64001;;;;;;;;;;;;;;;;;;
64002;239;1182;61,95;549;383;105;145;87;36;34;8;9;1095;513;349;97;136;4,9
64003;;399;67,78;63;33;6;297;0;;;;;399;63;33;6;297;7,4
64004;14;1582;68,56;321;661;292;308;128;38;85;;3;1454;283;576;290;305;5,5
64005;;1162;60,92;66;896;90;110;23;5;11;;6;1139;61;885;89;104;8,3
